Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;;;;;;;;;;;;;;
25/04/1998;31;34;36;58;62;;;;;;;;;;;;;;
28/04/1998;21;23;37;69;73;;;;;;;;;;;;;;
30/04/1998;27;38;48;58;75;;;;;;;;;;;;;;
02/05/1998;11;12;17;57;74;;;;;;;;;;;;;;
05/05/1998;9;27;38;48;57;;;;;;;;;;;;;;
07/05/1998;56;59;65;70;71;;;;;;;;;;;;;;
09/05/1998;1;7;9;39;80;;;;;;;;;;;;;;
12/05/1998;38;57;66;72;77;;;;;;;;;;;;;;
14/05/1998;1;14;42;44;56;;;;;;;;;;;;;;
16/05/1998;4;8;52;59;67;;;;;;;;;;;;;;
19/05/1998;5;19;43;77;80;;;;;;;;;;;;;;
21/05/1998;3;35;40;61;77;;;;;;;;;;;;;;
23/05/1998;16;29;44;57;70;;;;;;;;;;;;;;
26/05/1998;4;5;14;28;40;;;;;;;;;;;;;;
28/05/1998;3;26;63;74;76;;;;;;;;;;;;;;
30/05/1998;7;8;17;47;55;;;;;;;;;;;;;;
02/06/1998;9;12;52;65;78;;;;;;;;;;;;;;
04/06/1998;1;20;44;66;77;;;;;;;;;;;;;;
06/06/1998;24;40;52;57;62;;;;;;;;;;;;;;
09/06/1998;2;12;20;47;55;;;;;;;;;;;;;;
13/06/1998;15;26;51;58;65;;;;;;;;;;;;;;
16/06/1998;47;52;53;71;78;;;;;;;;;;;;;;
18/06/1998;11;25;40;48;73;;;;;;;;;;;;;;
20/06/1998;34;39;47;75;76;;;;;;;;;;;;;;
23/06/1998;21;23;37;50;55;;;;;;;;;;;;;;
25/06/1998;38;44;46;72;80;;;;;;;;;;;;;;
27/06/1998;24;41;52;56;76;;;;;;;;;;;;;;
30/06/1998;37;44;54;62;64;;;;;;;;;;;;;;
02/07/1998;17;39;48;56;75;;;;;;;;;;;;;;
04/07/1998;5;6;22;28;31;;;;;;;;;;;;;;
07/07/1998;1;21;28;44;48;;;;;;;;;;;;;;
09/07/1998;5;13;26;54;67;;;;;;;;;;;;;;
11/07/1998;15;24;30;57;67;;;;;;;;;;;;;;
14/07/1998;5;20;27;70;80;;;;;;;;;;;;;;
16/07/1998;2;39;41;51;73;;;;;;;;;;;;;;
18/07/1998;19;52;57;74;79;;;;;;;;;;;;;;
21/07/1998;6;35;50;57;58;;;;;;;;;;;;;;
23/07/1998;27;33;37;53;60;;;;;;;;;;;;;;
25/07/1998;20;22;38;45;53;;;;;;;;;;;;;;
28/07/1998;23;30;36;39;40;;;;;;;;;;;;;;
30/07/1998;20;30;34;35;65;;;;;;;;;;;;;;
01/08/1998;31;38;43;44;79;;;;;;;;;;;;;;
04/08/1998;15;30;31;49;52;;;;;;;;;;;;;;
06/08/1998;12;27;46;48;79;;;;;;;;;;;;;;
08/08/1998;10;21;52;58;64;;;;;;;;;;;;;;
11/08/1998;35;64;66;70;79;;;;;;;;;;;;;;
